更新日期及时间（以本地时间表示）,完结日期及时间（以本地时间表示）,纬度（度）,经度（度）,临近预测半小时累计雨量（毫米）
202606180812,202606180842,23.487,112.956,2.84
202606180812,202606180842,23.487,112.976,2.15
202606180812,202606180842,23.487,112.995,2.64
202606180812,202606180842,23.487,113.015,3.93
202606180812,202606180842,23.487,113.034,5.63
202606180812,202606180842,23.487,113.054,5.91
202606180812,202606180842,23.487,113.073,4.95
202606180812,202606180842,23.487,113.093,3.83
202606180812,202606180842,23.487,113.112,2.67
202606180812,202606180842,23.487,113.131,1.50
202606180812,202606180842,23.487,113.151,0.96
202606180812,202606180842,23.487,113.170,0.89
202606180812,202606180842,23.487,113.190,1.96
202606180812,202606180842,23.487,113.209,2.28
202606180812,202606180842,23.487,113.229,1.52
202606180812,202606180842,23.487,113.248,1.20
202606180812,202606180842,23.487,113.268,1.03
202606180812,202606180842,23.487,113.287,1.13
202606180812,202606180842,23.487,113.307,1.26
202606180812,202606180842,23.487,113.326,1.28
202606180812,202606180842,23.487,113.345,1.35
202606180812,202606180842,23.487,113.365,1.50
202606180812,202606180842,23.487,113.384,1.46
202606180812,202606180842,23.487,113.404,1.06
202606180812,202606180842,23.487,113.423,0.55
202606180812,202606180842,23.487,113.443,0.20
202606180812,202606180842,23.487,113.462,0.12
202606180812,202606180842,23.487,113.482,0.05
202606180812,202606180842,23.487,113.501,0.02
202606180812,202606180842,23.487,113.521,0.02
202606180812,202606180842,23.487,113.540,0.01
202606180812,202606180842,23.487,113.560,0.01
202606180812,202606180842,23.487,113.579,0.01
202606180812,202606180842,23.487,113.598,0.00
202606180812,202606180842,23.487,113.618,0.00
202606180812,202606180842,23.487,113.637,0.00
202606180812,202606180842,23.487,113.657,0.00
202606180812,202606180842,23.487,113.676,0.00
202606180812,202606180842,23.487,113.696,0.00
202606180812,202606180842,23.487,113.715,0.00
202606180812,202606180842,23.487,113.735,0.00
202606180812,202606180842,23.487,113.754,0.00
202606180812,202606180842,23.487,113.774,0.00
202606180812,202606180842,23.487,113.793,0.00
202606180812,202606180842,23.487,113.812,0.00
202606180812,202606180842,23.487,113.832,0.00
202606180812,202606180842,23.487,113.851,0.00
202606180812,202606180842,23.487,113.871,0.00
202606180812,202606180842,23.487,113.890,0.00
202606180812,202606180842,23.487,113.910,0.06
202606180812,202606180842,23.487,113.929,0.99
202606180812,202606180842,23.487,113.949,2.46
202606180812,202606180842,23.487,113.968,1.77
202606180812,202606180842,23.487,113.988,0.16
202606180812,202606180842,23.487,114.007,0.00
202606180812,202606180842,23.487,114.026,0.00
202606180812,202606180842,23.487,114.046,0.04
202606180812,202606180842,23.487,114.065,0.29
202606180812,202606180842,23.487,114.085,1.02
202606180812,202606180842,23.487,114.104,0.93
202606180812,202606180842,23.487,114.124,1.14
202606180812,202606180842,23.487,114.143,1.95
202606180812,202606180842,23.487,114.163,1.60
202606180812,202606180842,23.487,114.182,0.64
202606180812,202606180842,23.487,114.202,0.49
202606180812,202606180842,23.487,114.221,2.14
202606180812,202606180842,23.487,114.240,6.15
202606180812,202606180842,23.487,114.260,4.82
202606180812,202606180842,23.487,114.279,2.52
202606180812,202606180842,23.487,114.299,1.85
202606180812,202606180842,23.487,114.318,0.81
202606180812,202606180842,23.487,114.338,0.18
202606180812,202606180842,23.487,114.357,0.02
202606180812,202606180842,23.487,114.377,0.14
202606180812,202606180842,23.487,114.396,0.24
202606180812,202606180842,23.487,114.416,0.09
202606180812,202606180842,23.487,114.435,0.02
202606180812,202606180842,23.487,114.454,0.01
202606180812,202606180842,23.487,114.474,0.15
202606180812,202606180842,23.487,114.493,0.30
202606180812,202606180842,23.487,114.513,0.17
202606180812,202606180842,23.487,114.532,0.01
202606180812,202606180842,23.487,114.552,0.03
202606180812,202606180842,23.487,114.571,0.04
202606180812,202606180842,23.487,114.591,0.01
202606180812,202606180842,23.487,114.610,0.00
202606180812,202606180842,23.487,114.630,0.00
202606180812,202606180842,23.487,114.649,0.00
202606180812,202606180842,23.487,114.669,0.00
202606180812,202606180842,23.487,114.688,0.00
202606180812,202606180842,23.487,114.707,0.01
202606180812,202606180842,23.487,114.727,0.01
202606180812,202606180842,23.487,114.746,0.01
202606180812,202606180842,23.487,114.766,0.01
202606180812,202606180842,23.487,114.785,0.01
202606180812,202606180842,23.487,114.805,0.00
202606180812,202606180842,23.487,114.824,0.00
202606180812,202606180842,23.487,114.844,0.00
202606180812,202606180842,23.487,114.863,0.00
202606180812,202606180842,23.487,114.883,0.00
202606180812,202606180842,23.487,114.902,0.00
202606180812,202606180842,23.487,114.921,0.00
202606180812,202606180842,23.487,114.941,0.00
202606180812,202606180842,23.487,114.960,0.00
202606180812,202606180842,23.487,114.980,0.00
202606180812,202606180842,23.487,114.999,0.00
202606180812,202606180842,23.487,115.019,0.00
202606180812,202606180842,23.487,115.038,0.00
202606180812,202606180842,23.487,115.058,0.00
202606180812,202606180842,23.487,115.077,0.00
202606180812,202606180842,23.487,115.097,0.00
202606180812,202606180842,23.487,115.116,0.00
202606180812,202606180842,23.487,115.135,0.00
202606180812,202606180842,23.487,115.155,0.00
202606180812,202606180842,23.487,115.174,0.00
202606180812,202606180842,23.487,115.194,0.01
202606180812,202606180842,23.487,115.213,0.02
202606180812,202606180842,23.487,115.233,0.03
202606180812,202606180842,23.487,115.252,0.03
202606180812,202606180842,23.487,115.272,0.05
202606180812,202606180842,23.487,115.291,0.05
202606180812,202606180842,23.469,112.956,2.14
202606180812,202606180842,23.469,112.976,1.40
202606180812,202606180842,23.469,112.995,2.05
202606180812,202606180842,23.469,113.015,3.40
202606180812,202606180842,23.469,113.034,5.01
202606180812,202606180842,23.469,113.054,5.23
202606180812,202606180842,23.469,113.073,4.39
202606180812,202606180842,23.469,113.093,3.78
202606180812,202606180842,23.469,113.112,2.74
202606180812,202606180842,23.469,113.131,1.49
202606180812,202606180842,23.469,113.151,1.11
202606180812,202606180842,23.469,113.170,0.96
202606180812,202606180842,23.469,113.190,1.09
202606180812,202606180842,23.469,113.209,1.09
202606180812,202606180842,23.469,113.229,1.03
202606180812,202606180842,23.469,113.248,0.88
202606180812,202606180842,23.469,113.268,0.77
202606180812,202606180842,23.469,113.287,0.99
202606180812,202606180842,23.469,113.307,1.28
202606180812,202606180842,23.469,113.326,1.26
202606180812,202606180842,23.469,113.345,1.26
202606180812,202606180842,23.469,113.365,1.45
202606180812,202606180842,23.469,113.384,1.40
202606180812,202606180842,23.469,113.404,0.94
202606180812,202606180842,23.469,113.423,0.48
202606180812,202606180842,23.469,113.443,0.24
202606180812,202606180842,23.469,113.462,0.12
202606180812,202606180842,23.469,113.482,0.05
202606180812,202606180842,23.469,113.501,0.05
202606180812,202606180842,23.469,113.521,0.07
202606180812,202606180842,23.469,113.540,0.08
202606180812,202606180842,23.469,113.560,0.08
202606180812,202606180842,23.469,113.579,0.03
202606180812,202606180842,23.469,113.598,0.00
202606180812,202606180842,23.469,113.618,0.00
202606180812,202606180842,23.469,113.637,0.00
202606180812,202606180842,23.469,113.657,0.00
202606180812,202606180842,23.469,113.676,0.00
202606180812,202606180842,23.469,113.696,0.00
202606180812,202606180842,23.469,113.715,0.00
202606180812,202606180842,23.469,113.735,0.00
202606180812,202606180842,23.469,113.754,0.00
202606180812,202606180842,23.469,113.774,0.00
202606180812,202606180842,23.469,113.793,0.00
202606180812,202606180842,23.469,113.812,0.00
202606180812,202606180842,23.469,113.832,0.00
202606180812,202606180842,23.469,113.851,0.00
202606180812,202606180842,23.469,113.871,0.00
202606180812,202606180842,23.469,113.890,0.01
202606180812,202606180842,23.469,113.910,0.32
202606180812,202606180842,23.469,113.929,1.91
202606180812,202606180842,23.469,113.949,2.16
202606180812,202606180842,23.469,113.968,0.83
202606180812,202606180842,23.469,113.988,0.03
202606180812,202606180842,23.469,114.007,0.00
202606180812,202606180842,23.469,114.026,0.03
202606180812,202606180842,23.469,114.046,0.18
202606180812,202606180842,23.469,114.065,0.57
202606180812,202606180842,23.469,114.085,1.19
202606180812,202606180842,23.469,114.104,1.06
202606180812,202606180842,23.469,114.124,1.58
202606180812,202606180842,23.469,114.143,1.88
202606180812,202606180842,23.469,114.163,1.23
202606180812,202606180842,23.469,114.182,0.86
202606180812,202606180842,23.469,114.202,0.82
202606180812,202606180842,23.469,114.221,2.35
202606180812,202606180842,23.469,114.240,3.61
202606180812,202606180842,23.469,114.260,1.50
202606180812,202606180842,23.469,114.279,1.01
202606180812,202606180842,23.469,114.299,0.87
202606180812,202606180842,23.469,114.318,0.36
202606180812,202606180842,23.469,114.338,0.07
202606180812,202606180842,23.469,114.357,0.06
202606180812,202606180842,23.469,114.377,0.41
202606180812,202606180842,23.469,114.396,0.83
202606180812,202606180842,23.469,114.416,0.51
202606180812,202606180842,23.469,114.435,0.12
202606180812,202606180842,23.469,114.454,0.05
202606180812,202606180842,23.469,114.474,0.55
202606180812,202606180842,23.469,114.493,1.41
202606180812,202606180842,23.469,114.513,0.98
202606180812,202606180842,23.469,114.532,0.10
202606180812,202606180842,23.469,114.552,0.20
202606180812,202606180842,23.469,114.571,0.38
202606180812,202606180842,23.469,114.591,0.27
202606180812,202606180842,23.469,114.610,0.04
202606180812,202606180842,23.469,114.630,0.00
202606180812,202606180842,23.469,114.649,0.00
202606180812,202606180842,23.469,114.669,0.00
202606180812,202606180842,23.469,114.688,0.00
202606180812,202606180842,23.469,114.707,0.00
202606180812,202606180842,23.469,114.727,0.00
202606180812,202606180842,23.469,114.746,0.00
202606180812,202606180842,23.469,114.766,0.00
202606180812,202606180842,23.469,114.785,0.00
202606180812,202606180842,23.469,114.805,0.00
202606180812,202606180842,23.469,114.824,0.00
202606180812,202606180842,23.469,114.844,0.00
202606180812,202606180842,23.469,114.863,0.00
202606180812,202606180842,23.469,114.883,0.00
202606180812,202606180842,23.469,114.902,0.00
202606180812,202606180842,23.469,114.921,0.00
202606180812,202606180842,23.469,114.941,0.00
202606180812,202606180842,23.469,114.960,0.00
202606180812,202606180842,23.469,114.980,0.00
202606180812,202606180842,23.469,114.999,0.01
202606180812,202606180842,23.469,115.019,0.01
202606180812,202606180842,23.469,115.038,0.02
202606180812,202606180842,23.469,115.058,0.01
202606180812,202606180842,23.469,115.077,0.00
202606180812,202606180842,23.469,115.097,0.00
202606180812,202606180842,23.469,115.116,0.00
202606180812,202606180842,23.469,115.135,0.01
202606180812,202606180842,23.469,115.155,0.00
202606180812,202606180842,23.469,115.174,0.00
202606180812,202606180842,23.469,115.194,0.04
202606180812,202606180842,23.469,115.213,0.13
202606180812,202606180842,23.469,115.233,0.15
202606180812,202606180842,23.469,115.252,0.11
202606180812,202606180842,23.469,115.272,0.09
202606180812,202606180842,23.469,115.291,0.06
202606180812,202606180842,23.451,112.956,1.30
202606180812,202606180842,23.451,112.976,0.79
202606180812,202606180842,23.451,112.995,1.70
202606180812,202606180842,23.451,113.015,2.97
202606180812,202606180842,23.451,113.034,4.26
202606180812,202606180842,23.451,113.054,4.43
202606180812,202606180842,23.451,113.073,4.14
202606180812,202606180842,23.451,113.093,3.98
202606180812,202606180842,23.451,113.112,2.87
202606180812,202606180842,23.451,113.131,1.69
202606180812,202606180842,23.451,113.151,1.34
202606180812,202606180842,23.451,113.170,1.20
202606180812,202606180842,23.451,113.190,0.86
202606180812,202606180842,23.451,113.209,0.68
202606180812,202606180842,23.451,113.229,0.70
202606180812,202606180842,23.451,113.248,0.56
202606180812,202606180842,23.451,113.268,0.68
202606180812,202606180842,23.451,113.287,1.02
202606180812,202606180842,23.451,113.307,1.28
202606180812,202606180842,23.451,113.326,1.11
202606180812,202606180842,23.451,113.345,1.11
202606180812,202606180842,23.451,113.365,1.20
202606180812,202606180842,23.451,113.384,1.17
202606180812,202606180842,23.451,113.404,0.88
202606180812,202606180842,23.451,113.423,0.57
202606180812,202606180842,23.451,113.443,0.32
202606180812,202606180842,23.451,113.462,0.11
202606180812,202606180842,23.451,113.482,0.05
202606180812,202606180842,23.451,113.501,0.10
202606180812,202606180842,23.451,113.521,0.18
202606180812,202606180842,23.451,113.540,0.27
202606180812,202606180842,23.451,113.560,0.20
202606180812,202606180842,23.451,113.579,0.04
202606180812,202606180842,23.451,113.598,0.00
202606180812,202606180842,23.451,113.618,0.00
